company,model,year,vehicle_age,mileage,service_issues
Maruti,Vitara Brezza,2014,10,127611,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Civic,2022,2,31739,"Engine Oil Change, Air Filter Replacement, AC Gas Refill, Tire Rotation"
Maruti,Baleno,2017,7,60430,"Engine Oil Change, Spark Plug Replacement, Fuel Filter Replacement, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Hyundai,Verna,2016,8,136963,"Spark Plug Replacement, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Tata,Nexon,2022,2,19381,"Engine Oil Change, Exhaust System Repair, Tire Rotation"
Toyota,Glanza,2015,9,78298,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement"
Toyota,Camry,2022,2,16012,"Engine Oil Change, Tire Rotation"
Hyundai,Creta,2016,8,132012,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Alto,2024,0,5041,Engine Oil Change
Honda,WR-V,2022,2,17283,"Engine Oil Change, Wheel Alignment"
Honda,City,2013,11,120112,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Toyota,Camry,2015,9,120439,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, Clutch Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Jazz,2012,12,134893,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Tire Rotation"
Toyota,Innova,2010,14,230451,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Tiago,2022,2,37280,"Engine Oil Change, Air Filter Replacement"
Hyundai,Tucson,2010,14,250100,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Clutch Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Vitara Brezza,2022,2,32317,Wheel Alignment
Maruti,Alto,2023,1,2434,Engine Oil Change
Maruti,WagonR,2019,5,74826,"Engine Oil Change, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Air Filter Replacement, Tire Rotation"
Honda,City,2019,5,77560,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Tata,Nexon,2023,1,874,Engine Oil Change
Maruti,WagonR,2020,4,41383,"Engine Oil Change, AC Gas Refill"
Tata,Tiago,2019,5,79103,"Engine Oil Change, Wheel Alignment, Exhaust System Repair, Suspension Check, Wiper Blade Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation"
Hyundai,Venue,2011,13,219698,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,Accord,2011,13,208256,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Wiper Blade Replacement, AC Gas Refill, Timing Belt Replacement, Brake Pad Replacement"
Honda,Accord,2019,5,77918,"Air Filter Replacement, Tire Rotation, Wheel Alignment, Battery Replacement"
Maruti,Alto,2022,2,28225,"Engine Oil Change, AC Gas Refill, Tire Rotation"
Tata,Harrier,2015,9,135934,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Exhaust System Repair, Suspension Check, AC Gas Refill, Coolant Flush, Clutch Replacement"
Tata,Tiago,2016,8,144332,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Exhaust System Repair, Suspension Check, Wiper Blade Replacement, Battery Replacement, Brake Pad Replacement"
Maruti,Swift,2021,3,54241,"Suspension Check, Air Filter Replacement, Engine Oil Change"
Hyundai,i20,2023,1,13041,Engine Oil Change
Tata,Tiago,2022,2,32363,"Air Filter Replacement, Exhaust System Repair, Wheel Alignment, Tire Rotation"
Hyundai,Venue,2022,2,37117,"Engine Oil Change, Air Filter Replacement, Wiper Blade Replacement"
Hyundai,Venue,2010,14,243788,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Camry,2017,7,100078,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Suspension Check, Timing Belt Replacement, Battery Replacement, Tire Rotation"
Honda,Civic,2019,5,54117,"Engine Oil Change, Spark Plug Replacement, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement"
Hyundai,Tucson,2019,5,78505,"Engine Oil Change, Spark Plug Replacement, AC Gas Refill, Clutch Replacement"
Honda,Jazz,2020,4,76287,"Engine Oil Change, Spark Plug Replacement, Tire Rotation"
Tata,Nexon,2016,8,146361,"Engine Oil Change, Spark Plug Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Vitara Brezza,2011,13,183235,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Timing Belt Replacement, Tire Rotation"
Tata,Harrier,2020,4,45819,"Engine Oil Change, Air Filter Replacement, AC Gas Refill, Tire Rotation"
Tata,Altroz,2016,8,98506,"Engine Oil Change, Brake Pad Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Tata,Harrier,2022,2,39235,"Engine Oil Change, Wheel Alignment, Exhaust System Repair"
Tata,Altroz,2011,13,180005,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Camry,2015,9,82953,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Hyundai,Verna,2023,1,5023,Engine Oil Change
Honda,CR-V,2008,16,276592,"Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Camry,2009,15,228450,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Timing Belt Replacement, Brake Pad Replacement"
Maruti,Swift,2011,13,115489,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,CR-V,2023,1,10049,"Wiper Blade Replacement, Tire Rotation"
Hyundai,Venue,2016,8,70797,"Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Honda,WR-V,2023,1,14410,"Engine Oil Change, Tire Rotation"
Maruti,Baleno,2021,3,39368,"Engine Oil Change, AC Gas Refill, Battery Replacement, Air Filter Replacement, Tire Rotation"
Honda,Accord,2022,2,36541,"Engine Oil Change, Air Filter Replacement, AC Gas Refill"
Maruti,Alto,2012,12,138743,"Transmission Fluid Change, Wheel Alignment, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Creta,2023,1,11089,Engine Oil Change
Hyundai,Verna,2011,13,146365,"Transmission Fluid Change, Clutch Replacement, Timing Belt Replacement"
Tata,Tiago,2018,6,77518,"Spark Plug Replacement, Exhaust System Repair, Suspension Check, AC Gas Refill, Air Filter Replacement, Tire Rotation"
Tata,Altroz,2020,4,46291,"Engine Oil Change, Wheel Alignment, Exhaust System Repair, Suspension Check, Battery Replacement, Air Filter Replacement"
Hyundai,i20,2011,13,161355,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Camry,2019,5,55411,"Engine Oil Change, Spark Plug Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement"
Toyota,Innova,2018,6,63863,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Tire Rotation"
Hyundai,Venue,2013,11,192110,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,CR-V,2021,3,34336,"Engine Oil Change, AC Gas Refill, Battery Replacement, Air Filter Replacement, Tire Rotation"
Tata,Altroz,2020,4,64809,"Engine Oil Change, Wheel Alignment, Battery Replacement, Air Filter Replacement, Tire Rotation"
Tata,Altroz,2011,13,144574,"Transmission Fluid Change, Air Filter Replacement, Engine Oil Change, Brake Pad Replacement"
Toyota,Urban Cruiser,2013,11,176135,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wiper Blade Replacement, Timing Belt Replacement, Brake Pad Replacement"
Honda,WR-V,2018,6,63095,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Coolant Flush, Timing Belt Replacement, Air Filter Replacement"
Hyundai,i20,2016,8,140495,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Altroz,2016,8,112372,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Hyundai,Verna,2020,4,65837,"Engine Oil Change, Air Filter Replacement, Tire Rotation"
Honda,Accord,2019,5,85271,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Air Filter Replacement"
Honda,WR-V,2014,10,176150,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Maruti,Dzire,2023,1,16517,Engine Oil Change
Hyundai,Tucson,2017,7,118746,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Maruti,Swift,2018,6,68351,"Engine Oil Change, Wheel Alignment, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Toyota,Glanza,2012,12,113928,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Air Filter Replacement, Brake Pad Replacement"
Toyota,Glanza,2016,8,97552,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Verna,2011,13,174227,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Altroz,2020,4,43612,"Air Filter Replacement, Exhaust System Repair, Tire Rotation"
Hyundai,Venue,2012,12,201388,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Battery Replacement, Brake Pad Replacement"
Toyota,Camry,2022,2,25082,"Engine Oil Change, Tire Rotation"
Toyota,Camry,2012,12,152774,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Timing Belt Replacement, Brake Pad Replacement"
Honda,Amaze,2012,12,162287,"Transmission Fluid Change, Wheel Alignment, Engine Oil Change, Wiper Blade Replacement, Timing Belt Replacement"
Tata,Harrier,2021,3,26383,"Suspension Check, AC Gas Refill, Engine Oil Change, Battery Replacement"
Honda,Amaze,2014,10,101821,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Glanza,2018,6,88941,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,WagonR,2014,10,105483,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Brake Pad Replacement"
Tata,Safari,2018,6,92433,"Transmission Fluid Change, Exhaust System Repair, Engine Oil Change, Timing Belt Replacement, Brake Pad Replacement"
Tata,Tiago,2012,12,122600,"Transmission Fluid Change, Spark Plug Replacement, Wheel Alignment, Exhaust System Repair, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Jazz,2013,11,151496,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Timing Belt Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Hyundai,i10,2011,13,158318,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Air Filter Replacement"
Toyota,Camry,2011,13,160834,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Hyundai,Tucson,2019,5,53779,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Wiper Blade Replacement, Clutch Replacement, Battery Replacement"
Hyundai,i20,2015,9,155022,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, AC Gas Refill, Coolant Flush, Clutch Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Creta,2023,1,21893,Engine Oil Change
Hyundai,i10,2022,2,33788,Engine Oil Change
Toyota,Urban Cruiser,2013,11,185597,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Clutch Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Hyundai,Tucson,2017,7,120976,"Spark Plug Replacement, Suspension Check, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,Vitara Brezza,2010,14,176637,"Engine Oil Change, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Accord,2020,4,70648,"Coolant Flush, Spark Plug Replacement, Engine Oil Change"
Maruti,Alto,2018,6,81004,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Wiper Blade Replacement, AC Gas Refill, Timing Belt Replacement, Brake Pad Replacement"
Honda,WR-V,2012,12,150447,"Spark Plug Replacement, Wheel Alignment, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,Dzire,2013,11,129185,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Clutch Replacement, Battery Replacement"
Toyota,Urban Cruiser,2011,13,116386,"Engine Oil Change, AC Gas Refill, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Harrier,2018,6,67211,"Engine Oil Change, Spark Plug Replacement, Wheel Alignment, Exhaust System Repair, AC Gas Refill, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Hyundai,Creta,2011,13,192098,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Innova,2011,13,194027,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Tiago,2011,13,114591,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Coolant Flush, Air Filter Replacement, Brake Pad Replacement"
Tata,Tiago,2016,8,144039,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i20,2016,8,127279,"Transmission Fluid Change, Spark Plug Replacement, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Battery Replacement, Air Filter Replacement"
Maruti,Alto,2020,4,50681,"Engine Oil Change, Spark Plug Replacement, Fuel Filter Replacement, Coolant Flush, Air Filter Replacement"
Maruti,WagonR,2020,4,37430,Air Filter Replacement
Toyota,Glanza,2017,7,115339,"Wheel Alignment, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Swift,2018,6,97331,"Transmission Fluid Change, Suspension Check, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Fuel Filter Replacement"
Honda,Accord,2019,5,66782,"Engine Oil Change, Spark Plug Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Hyundai,Venue,2012,12,126362,"Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i20,2016,8,112749,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Tata,Altroz,2018,6,82529,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Wiper Blade Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i10,2021,3,45460,"Engine Oil Change, AC Gas Refill, Battery Replacement"
Tata,Safari,2011,13,157570,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Harrier,2019,5,49951,"Engine Oil Change, Exhaust System Repair, Wiper Blade Replacement, AC Gas Refill, Clutch Replacement, Air Filter Replacement"
Toyota,Glanza,2010,14,220349,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Tata,Tiago,2012,12,121050,"Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Safari,2021,3,53356,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Wiper Blade Replacement, Coolant Flush, Air Filter Replacement"
Maruti,Alto,2018,6,92269,"Engine Oil Change, Spark Plug Replacement, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Glanza,2012,12,209748,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Hyundai,i10,2015,9,127733,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Brake Pad Replacement"
Tata,Nexon,2015,9,124673,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush"
Toyota,Innova,2013,11,192494,"Transmission Fluid Change, Brake Pad Replacement, Engine Oil Change, Battery Replacement"
Maruti,Vitara Brezza,2010,14,176052,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Fuel Filter Replacement, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,WagonR,2021,3,49821,"Suspension Check, AC Gas Refill"
Toyota,Innova,2010,14,179051,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,WagonR,2020,4,39175,"Engine Oil Change, Wheel Alignment, Suspension Check, Fuel Filter Replacement, Battery Replacement, Air Filter Replacement"
Maruti,Dzire,2013,11,115033,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Maruti,Alto,2015,9,104954,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Timing Belt Replacement, Air Filter Replacement"
Maruti,Alto,2016,8,88444,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Coolant Flush, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Accord,2014,10,169832,"Engine Oil Change, Spark Plug Replacement, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Honda,CR-V,2021,3,55193,"Engine Oil Change, Spark Plug Replacement, Coolant Flush, Battery Replacement, Air Filter Replacement"
Hyundai,Creta,2017,7,59532,"Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Maruti,Alto,2019,5,67067,"Wiper Blade Replacement, Tire Rotation"
Maruti,Swift,2023,1,8133,Engine Oil Change
Toyota,Fortuner,2020,4,46144,"Engine Oil Change, Wiper Blade Replacement, Battery Replacement"
Honda,Amaze,2020,4,30387,"Air Filter Replacement, Tire Rotation"
Toyota,Urban Cruiser,2019,5,57169,"Spark Plug Replacement, Suspension Check, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Maruti,Swift,2010,14,245229,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Clutch Replacement, Battery Replacement, Tire Rotation"
Honda,CR-V,2020,4,71832,"Engine Oil Change, Spark Plug Replacement, Suspension Check, Battery Replacement, Air Filter Replacement"
Maruti,Alto,2012,12,107727,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Tata,Altroz,2014,10,124299,"Transmission Fluid Change, Engine Oil Change, Exhaust System Repair, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Safari,2022,2,30807,"Engine Oil Change, Air Filter Replacement, Wheel Alignment"
Honda,Amaze,2012,12,188757,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Innova,2011,13,217949,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Clutch Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Vitara Brezza,2021,3,32973,"Engine Oil Change, Wheel Alignment, Tire Rotation, Battery Replacement"
Tata,Tiago,2010,14,129015,"Transmission Fluid Change, Spark Plug Replacement, Air Filter Replacement, Engine Oil Change"
Maruti,Alto,2017,7,67109,"Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Clutch Replacement, Battery Replacement, Air Filter Replacement"
Maruti,Baleno,2017,7,67015,"Engine Oil Change, Spark Plug Replacement, Wiper Blade Replacement, Fuel Filter Replacement, Clutch Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Maruti,WagonR,2010,14,223594,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Fuel Filter Replacement, Brake Pad Replacement"
Tata,Tiago,2016,8,124169,"Transmission Fluid Change, Exhaust System Repair, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Jazz,2020,4,44412,"Engine Oil Change, Air Filter Replacement, Wiper Blade Replacement, Tire Rotation"
Tata,Tiago,2021,3,52049,"Spark Plug Replacement, Suspension Check, Wiper Blade Replacement, AC Gas Refill, Coolant Flush, Battery Replacement, Air Filter Replacement"
Honda,Jazz,2006,18,356670,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Wiper Blade Replacement, Coolant Flush, Timing Belt Replacement, Air Filter Replacement"
Tata,Tiago,2014,10,98414,"Transmission Fluid Change, Engine Oil Change, Wiper Blade Replacement, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Fortuner,2015,9,99183,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Tire Rotation, Brake Pad Replacement"
Honda,Jazz,2011,13,100470,"Transmission Fluid Change, Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Honda,WR-V,2012,12,190722,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,Swift,2013,11,105750,"Transmission Fluid Change, Engine Oil Change, Suspension Check, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Nexon,2022,2,19899,"Engine Oil Change, Wheel Alignment, Tire Rotation"
Maruti,Baleno,2022,2,19951,"Engine Oil Change, Fuel Filter Replacement, AC Gas Refill, Tire Rotation"
Toyota,Urban Cruiser,2010,14,209348,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i20,2022,2,25860,Engine Oil Change
Toyota,Camry,2023,1,8179,Engine Oil Change
Hyundai,Creta,2010,14,209237,"Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Honda,Jazz,2017,7,79941,"Engine Oil Change, Spark Plug Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Toyota,Innova,2017,7,106457,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Coolant Flush, Clutch Replacement, Tire Rotation, Brake Pad Replacement"
Toyota,Camry,2022,2,19112,Engine Oil Change
Maruti,Swift,2011,13,186551,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Harrier,2015,9,114670,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Honda,City,2017,7,62323,"Engine Oil Change, Spark Plug Replacement, Suspension Check, AC Gas Refill, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Tire Rotation"
Toyota,Fortuner,2017,7,97643,"Engine Oil Change, Suspension Check, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Urban Cruiser,2017,7,95167,"Transmission Fluid Change, Engine Oil Change, Suspension Check, Coolant Flush, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Tata,Nexon,2012,12,139679,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Wheel Alignment, Suspension Check, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,i20,2017,7,90278,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Timing Belt Replacement, Tire Rotation, Brake Pad Replacement"
Honda,CR-V,2017,7,57876,"Engine Oil Change, Spark Plug Replacement, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation"
Tata,Tiago,2011,13,220971,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Wiper Blade Replacement, Coolant Flush, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Maruti,WagonR,2023,1,13626,"Engine Oil Change, Fuel Filter Replacement"
